Player A,Player B,Player A Score,Player B Score,Winner
1,2,0,3,2
1,10,3,1,1
1,3,0,3,3
2,10,3,1,2
2,3,3,2,2
10,3,0,3,3
7,2,3,0,7
5,3,3,0,5
5,7,3,0,5
8,9,3,1,8
8,10,3,0,8
9,10,3,0,9
11,12,0,3,12
11,3,3,0,11
11,2,3,0,11
12,3,3,0,12
12,2,3,1,12
3,2,3,2,3
13,14,3,0,13
13,15,0,3,15
14,15,2,3,15
16,7,3,0,16
8,13,3,0,8
11,16,3,0,11
15,9,3,0,15
12,7,3,0,12
8,11,3,0,8
12,15,3,0,12
8,12,4,0,8
