PlayerA,PlayerB,A score,B Score,Winner
18,11,3,0,18
8,15,3,0,8
19,2,3,0,19
20,9,0,3,9
16,4,0,3,4
13,12,0,3,12
17,21,0,3,21
14,22,3,0,14
18,4,3,0,18
8,12,3,0,8
19,21,3,0,19
9,14,3,0,9
11,16,3,0,11
15,13,3,0,15
2,17,3,0,2
20,22,3,0,20
18,19,0,3,19
8,9,3,0,8
4,11,0,3,11
12,15,3,0,12
21,2,3,0,21
14,20,3,0,14
18,12,3,0,18
9,21,0,3,21
